room,time,players,killed,task
Cafeteria,3.06123948097229,[],[],
Storage,46.81638145446777,[],[],
Cafeteria,52.04450964927673,[],[],
Storage,61.44074606895447,[],[],
Electrical,69.921231508255,[],[],
Storage,74.64460849761963,[],[],
Storage,87.22666025161743,['BLACK_PLAYER'],[],
Storage,91.50769066810608,[],[],
Electrical,99.23858737945557,[],[],
Electrical,113.10413312911987,[],[],Calibrate Distributor
Storage,160.7152488231659,[],[],
Shields,168.1905710697174,[],[],
O2,182.53176283836365,[],[],
Weapons,213.21877241134644,[],[],
Cafeteria,222.89180612564087,[],[],
Admin,238.72400498390198,[],[],
Admin,244.5979926586151,['BLUE_PLAYER'],[],
Admin,256.43926668167114,[],[],Swipe Card
Storage,281.9293613433838,[],[],
Electrical,298.59817457199097,[],[],
Electrical,335.06643986701965,[],[],Calibrate Distributor
Storage,385.4755210876465,[],[],
Shields,392.9826126098633,[],[],
O2,408.42455673217773,[],[],
Shields,468.78645396232605,[],[],
Storage,472.3926782608032,[],[],
Electrical,486.5704116821289,[],[],
Electrical,505.7206792831421,[],[],Calibrate Distributor
Storage,558.6186308860779,[],[],
Shields,566.1246480941772,[],[],
O2,580.9489057064056,[],[],
Shields,650.3364083766937,[],[],
Storage,654.0791485309601,[],[],
Electrical,668.7560937404633,[],[],
Electrical,695.9685392379761,[],[],Calibrate Distributor
Electrical,726.1452922821045,[],[],Divert Power
Lower Engine,754.6028661727905,[],[],
Security,766.3422482013702,[],[],
Security,775.0920715332031,['GREEN_PLAYER'],[],
Security,779.6595284938812,[],[],Accept Power (Security)
Security,798.6546494960785,[],[],
Upper Engine,801.9391984939575,[],[],
Upper Engine,807.0535159111023,[],[],Align Engine (Upper Engine)
Reactor,816.7373921871185,[],[],
Security,833.8454473018646,[],[],
Security,840.8842449188232,['GREEN_PLAYER'],[],
Lower Engine,844.5989105701447,['GREEN_PLAYER'],[],
Lower Engine,849.7307643890381,[],[],
Electrical,864.3693661689758,[],[],
Electrical,883.6621487140656,['ALONE'],[],
Electrical,885.0557613372803,[],[],
Storage,894.2592604160309,[],[],
Storage,907.8437879085541,['BLACK_PLAYER'],[],
Admin,908.539920091629,['BLACK_PLAYER'],[],
Admin,911.1588656902313,[],[],
Cafeteria,936.8549280166626,['BLUE_PLAYER'],[],
Cafeteria,941.4202947616577,[],[],
Weapons,949.8169748783112,[],[],
O2,972.887913942337,[],[],
Navigation,980.113627910614,[],[],
Navigation,990.3012635707855,['ORANGE_PLAYER'],[],
Shields,995.168815612793,['ORANGE_PLAYER'],[],
Shields,995.4166624546051,[],[],
Communications,1018.3683352470398,[],[],
Storage,1033.0976567268372,[],[],
Storage,1043.6775319576263,['ALONE'],[],
Cafeteria,1046.3770353794098,['ALONE'],[],
Cafeteria,1047.561467885971,[],[],
Medbay,1080.3048684597015,[],[],
Cafeteria,1085.206758260727,[],[],
Upper Engine,1097.8790085315704,[],[],
Reactor,1123.035145998001,[],[],
Reactor,1126.6942923069,['GREEN_PLAYER'],[],
Reactor,1133.54612326622,['PINK_PLAYER'],[],
Security,1137.5427839756012,['PINK_PLAYER'],[],
Lower Engine,1143.625105381012,['PINK_PLAYER'],[],
Lower Engine,1144.7667560577393,['GREEN_PLAYER'],[],
Lower Engine,1148.3851702213287,[],[],
