room,time,players,killed,task
Cafeteria,3.110621452331543,[],[],
Cafeteria,28.63219809532165,['YELLOW_PLAYER'],[],
Medbay,29.26527953147888,['YELLOW_PLAYER'],[],
Medbay,34.213053941726685,['RED_PLAYER'],[],
Medbay,49.2559027671814,[],[],
Medbay,54.95125389099121,[],[],Submit Scan
Medbay,84.63624048233031,['RED_PLAYER'],[],
Upper Engine,94.32381868362428,['RED_PLAYER'],[],
Upper Engine,94.44187378883362,[],[],
Lower Engine,107.17334222793579,[],[],
Reactor,148.4371907711029,[],[],
Reactor,160.9738116264343,['PINK_PLAYER'],[],
Reactor,163.2869963645935,[],[],
Reactor,224.04596328735352,[],[],Start Reactor
Reactor,237.64431858062744,['PINK_PLAYER'],[],
Reactor,241.55825519561768,[],[],
Lower Engine,243.93795800209045,[],[],
Storage,252.7937912940979,[],[],
Lower Engine,265.9466655254364,[],[],
Electrical,290.77376437187195,[],[],
Electrical,309.10877490043634,[],[],Divert Power
Electrical,330.7885577678681,['ALONE'],[],
Electrical,334.0496304035187,[],[],
Lower Engine,336.28593683242804,[],[],
Security,347.6018557548523,[],[],
Security,352.38052105903625,['GREEN_PLAYER'],[],
Security,353.6174123287201,[],[],
Security,355.38735818862915,[],[],Accept Power (Security)
Security,362.9122035503388,['GREEN_PLAYER'],[],
Security,376.5844268798828,['BLACK_PLAYER'],[],
Reactor,379.8852117061615,['BLACK_PLAYER'],[],
Reactor,384.6304717063904,['GREEN_PLAYER'],[],
Reactor,386.39263343811035,[],[],
Reactor,408.4169974327088,"['PINK_PLAYER', 'BLACK_PLAYER']",[],
Reactor,412.67099690437317,[],[],
Reactor,446.8316421508789,[],[],Start Reactor
Reactor,489.55592465400696,['GREEN_PLAYER'],[],
Reactor,509.57906365394587,['BROWN_PLAYER'],[],
Upper Engine,511.03742456436163,['BROWN_PLAYER'],[],
Upper Engine,513.9394502639769,[],[],
Cafeteria,532.2979955673218,[],[],
Admin,548.0466494560242,[],[],
Admin,558.2231676578522,['BLUE_PLAYER'],[],
Admin,559.4322013854979,[],[],
Admin,564.2279584407806,[],[],Swipe Card
Admin,570.4531598091124,['BLUE_PLAYER'],[],
Storage,581.4528927803041,['BLUE_PLAYER'],[],
Storage,584.0119233131409,[],[],
Storage,599.1601495742798,['BLACK_PLAYER'],[],
Storage,600.3428099155426,[],[],
Storage,602.3649122714996,[],[],Fuel Engine (Storage)
Lower Engine,625.8524804115294,[],[],
Reactor,641.729918718338,[],[],
Lower Engine,646.0245521068572,[],[],
Reactor,657.0116066932677,[],[],
Reactor,663.3506939411162,['PINK_PLAYER'],[],
Reactor,664.3947589397429,[],[],
Reactor,754.9093589782715,[],[],Start Reactor
Upper Engine,779.5570442676544,[],[],
Upper Engine,781.6333484649658,['PINK_PLAYER'],[],
Security,781.8063011169434,['PINK_PLAYER'],[],
Security,786.3972051143646,[],[],
Upper Engine,790.3352108001709,[],[],
Upper Engine,796.3334081172943,['YELLOW_PLAYER'],[],
Cafeteria,797.1872594356537,['YELLOW_PLAYER'],[],
Cafeteria,799.9671840667725,[],[],
Weapons,824.1446206569673,[],[],
Cafeteria,825.6034560203552,[],[],
Weapons,832.6191534996033,[],[],
Navigation,858.9053406715393,[],[],
Navigation,865.2703988552094,[],[],Stabilize Steering
Navigation,876.2599558830261,['BLACK_PLAYER'],[],
Navigation,935.5679984092712,['ORANGE_PLAYER'],[],
Navigation,936.4829020500183,[],[],
Weapons,938.8396215438844,[],[],
Weapons,939.9692902565002,['BLACK_PLAYER'],[],
Cafeteria,953.571430683136,['BLACK_PLAYER'],[],
Weapons,960.4257369041444,['BLACK_PLAYER'],[],
Weapons,964.6820793151857,[],[],
Cafeteria,972.1071457862854,[],[],
Upper Engine,1002.8524856567384,[],[],
Upper Engine,1016.7614853382112,['BLACK_PLAYER'],[],
Upper Engine,1018.3600018024443,[],[],
Reactor,1023.973715543747,[],[],
Reactor,1024.4144742488859,['BLACK_PLAYER'],[],
Reactor,1027.7237677574158,[],[],
Reactor,1125.2385914325714,['PINK_PLAYER'],[],
Reactor,1133.6617364883425,"['PINK_PLAYER', 'CYAN_PLAYER']",[],
Reactor,1138.43790268898,['GREEN_PLAYER'],[],
